start_city1,max_benefit_agent_1,min_benefit_agent_1,avg_ben_a_1,max_cost_agent_1,min_cost_agent_1,avg_cost_a_1,start_city2,max_benefit_agent_2,min_benefit_agent_2,avg_ben_a_2,max_cost_agent_2,min_cost_agent_2,avg_cost_a_2,avg_time,std_deviation
3,2100,0,1530.000,1.983800e+03,0,1434.180,7,3000,900,1470.000,1.983800e+03,0,1374.740,9.586,4.052
3,2250,1050,1575.000,2.142200e+03,993,1475.660,8,1950,750,1425.000,2.142200e+03,993,1327.500,9.661,3.123
3,1800,300,1222.500,1.688200e+03,2.944000e+02,1149.920,9,2700,1200,1777.500,1.688200e+03,2.944000e+02,1658.000,9.673,4.590
3,2550,900,1605.000,2.380200e+03,8.552000e+02,1499.780,10,2100,450,1395.000,2.380200e+03,8.552000e+02,1307.940,9.659,3.522
3,2250,300,1425.000,2.124200e+03,2.944000e+02,1329.920,11,2700,750,1575.000,2.124200e+03,2.944000e+02,1479.340,9.659,3.337
3,3000,1350,1860.000,2.809400e+03,1254,1743.280,12,1650,0,1140.000,2.809400e+03,1254,1063.700,9.740,3.848
3,3000,1200,1800.000,2.811800e+03,1.111600e+03,1685.400,13,1800,0,1200.000,2.811800e+03,1.111600e+03,1120.640,9.821,3.803
3,2100,750,1455.000,1.967800e+03,6.948000e+02,1361.680,14,2250,900,1545.000,1.967800e+03,6.948000e+02,1442.740,9.776,2.891
3,3000,300,1785.000,2.834400e+03,2.806000e+02,1672.520,15,2700,0,1215.000,2.834400e+03,2.806000e+02,1136.460,9.483,5.365
3,3000,150,1665.000,2.802200e+03,1.416000e+02,1555.060,16,2850,0,1335.000,2.802200e+03,1.416000e+02,1251.140,9.705,4.833
3,3000,900,1950.000,2.836600e+03,8.212000e+02,1816.600,17,2100,0,1050.000,2.836600e+03,8.212000e+02,986.720,10.160,5.255
3,2700,0,1590.000,2.514600e+03,0,1482.700,18,3000,300,1410.000,2.514600e+03,0,1325.000,9.676,5.782
3,3000,0,1575.000,2.811200e+03,0,1465.700,19,3000,0,1425.000,2.811200e+03,0,1338.320,9.845,5.957
3,1950,300,1215.000,1825,2.622000e+02,1136.880,20,2700,1050,1785.000,1825,2.622000e+02,1671.620,9.465,3.733
4,1950,0,1125.000,1.825400e+03,0,1054.100,1,3000,1050,1875.000,1.825400e+03,0,1752.820,9.701,4.451
4,2850,750,1710.000,2684,6.964000e+02,1595.400,2,2250,150,1290.000,2684,6.964000e+02,1217.780,9.676,3.877
4,2700,450,1485.000,2.541600e+03,4.228000e+02,1396.660,3,2550,300,1515.000,2.541600e+03,4.228000e+02,1411.360,9.860,4.367
4,0,0,0.000,0,0,0.000,4,0,0,0.000,0,0,0.000,0.000,0.000
4,2250,150,1350.000,2.096600e+03,1.332000e+02,1262.780,5,2850,750,1650.000,2.096600e+03,1.332000e+02,1543.600,9.910,3.875
4,2400,450,1380.000,2.246400e+03,4.224000e+02,1290.340,6,2550,600,1620.000,2.246400e+03,4.224000e+02,1514.480,10.209,5.258
4,1950,600,1357.500,1.831200e+03,569,1269.160,7,2400,1050,1642.500,1.831200e+03,569,1534.420,10.268,3.291
4,1950,1050,1500.000,1865,9.674000e+02,1406.400,8,1950,1050,1500.000,1865,9.674000e+02,1396.480,9.930,1.506
4,3000,0,1455.000,2.806200e+03,0,1358.940,9,3000,0,1545.000,2.806200e+03,0,1447.300,10.058,6.228
4,3000,900,1665.000,2819,8.416000e+02,1555.040,10,2100,0,1335.000,2819,8.416000e+02,1255.400,10.126,3.629
4,2850,1350,1860.000,2.665600e+03,1.253800e+03,1753.300,11,1650,150,1140.000,2.665600e+03,1.253800e+03,1057.080,9.633,3.123
4,1800,750,1500.000,1.706400e+03,7.106000e+02,1406.120,12,2250,1200,1500.000,1.706400e+03,7.106000e+02,1400.620,9.901,2.220
4,2400,300,1515.000,2.243200e+03,2.916000e+02,1418.680,13,2700,600,1485.000,2.243200e+03,2.916000e+02,1387.140,9.912,3.681
4,1950,900,1365.000,1.881600e+03,8.508000e+02,1285.340,14,2100,1050,1635.000,1.881600e+03,8.508000e+02,1521.260,10.047,2.989
4,3000,900,1905.000,2.822800e+03,8.376000e+02,1786.420,15,2100,0,1095.000,2.822800e+03,8.376000e+02,1023.800,10.008,3.896
4,2400,150,1335.000,2.266600e+03,1.352000e+02,1252.600,16,2850,600,1665.000,2.266600e+03,1.352000e+02,1558.060,9.640,4.118
4,2550,750,1800.000,2402,7.122000e+02,1690.280,17,2250,450,1200.000,2402,7.122000e+02,1117.440,9.849,3.535
4,2550,1050,1710.000,2.401800e+03,967,1601.620,18,1950,450,1290.000,2.401800e+03,967,1206.540,9.741,3.389
4,2100,150,1305.000,1966,1.416000e+02,1216.360,19,2850,900,1695.000,1966,1.416000e+02,1589.100,10.078,4.086
4,2550,1200,1680.000,2.383600e+03,1.094400e+03,1573.960,20,1800,450,1320.000,2.383600e+03,1.094400e+03,1229.320,10.362,3.174
5,3000,150,1410.000,2.818800e+03,1.364000e+02,1318.020,1,2850,0,1590.000,2.818800e+03,1.364000e+02,1494.420,9.357,5.770
5,1650,0,1005.000,1.570400e+03,0,944.420,2,3000,1350,1995.000,1.570400e+03,0,1864.780,9.465,5.036
5,2250,0,1230.000,2.125800e+03,0,1158.460,3,3000,750,1770.000,2.125800e+03,0,1653.120,9.543,4.355
5,2700,300,1425.000,2522,2.834000e+02,1331.960,4,2700,300,1575.000,2522,2.834000e+02,1477.020,9.482,4.145
5,0,0,0.000,0,0,0.000,5,0,0,0.000,0,0,0.000,0.000,0.000
5,1800,0,960.000,1.694200e+03,0,899.880,6,3000,1200,2040.000,1.694200e+03,0,1909.200,9.535,5.288
5,2250,300,1200.000,2.136400e+03,2.826000e+02,1126.760,7,2700,750,1800.000,2.136400e+03,2.826000e+02,1681.380,9.759,4.990
5,2400,150,1290.000,2.245800e+03,150,1219.020,8,2850,600,1710.000,2.245800e+03,150,1589.220,9.741,4.877
5,2100,0,1230.000,1.967600e+03,0,1155.860,9,3000,900,1770.000,1.967600e+03,0,1649.560,9.674,4.948
5,3000,0,1455.000,2.800400e+03,0,1363.560,10,3000,0,1545.000,2.800400e+03,0,1443.480,9.918,5.816
5,2550,0,1500.000,2387,0,1406.800,11,3000,450,1500.000,2387,0,1392.560,9.879,5.304
5,2400,0,1035.000,2.255400e+03,0,969.680,12,3000,600,1965.000,2.255400e+03,0,1836.660,9.712,5.167
5,3000,150,1485.000,2800,134,1388.420,13,2850,0,1515.000,2800,134,1414.580,9.694,4.622
5,2250,600,1395.000,2.103800e+03,5.596000e+02,1314.360,14,2400,750,1605.000,2.103800e+03,5.596000e+02,1498.300,9.489,3.866
5,3000,1200,1725.000,2.800200e+03,1.135800e+03,1620.220,15,1800,0,1275.000,2.800200e+03,1.135800e+03,1186.120,9.899,3.349
5,2250,600,1440.000,2.100400e+03,579,1343.340,16,2400,750,1560.000,2.100400e+03,579,1465.240,9.618,3.471
5,2700,750,1725.000,2.522600e+03,7.198000e+02,1615.840,17,2250,300,1275.000,2.522600e+03,7.198000e+02,1181.140,10.196,4.248
5,3000,300,1665.000,2.813600e+03,2.816000e+02,1554.060,18,2700,0,1335.000,2.813600e+03,2.816000e+02,1253.020,9.626,5.992
5,1650,300,1140.000,1.565800e+03,2.836000e+02,1065.900,19,2700,1350,1860.000,1.565800e+03,2.836000e+02,1743.300,9.800,4.468
5,1800,1050,1410.000,1685,9.778000e+02,1316.940,20,1950,1200,1590.000,1685,9.778000e+02,1488.720,9.850,2.506
6,3000,0,1770.000,2.806400e+03,0,1651.180,1,3000,0,1230.000,2.806400e+03,0,1151.580,9.862,5.642
6,1950,0,1215.000,1.836600e+03,0,1140.940,2,3000,1050,1785.000,1.836600e+03,0,1665.180,9.505,5.176
6,2550,0,1650.000,2.378400e+03,0,1542.740,3,3000,450,1350.000,2.378400e+03,0,1262.200,9.882,5.433
6,2850,0,1455.000,2.647400e+03,0,1362.560,4,3000,150,1545.000,2.647400e+03,0,1446.540,9.756,5.736
6,1950,1200,1545.000,1827,1.118400e+03,1441.620,5,1800,1050,1455.000,1827,1.118400e+03,1364.360,9.906,1.894
6,0,0,0.000,0,0,0.000,6,0,0,0.000,0,0,0.000,0.000,0.000
6,2400,150,1260.000,2.275800e+03,138,1180.620,7,2850,600,1740.000,2.275800e+03,138,1632.540,9.400,3.790
6,2100,150,1410.000,1.986400e+03,1.408000e+02,1316.080,8,2850,900,1590.000,1.986400e+03,1.408000e+02,1488.760,9.798,3.887
6,3000,1050,1815.000,2.817200e+03,1.002400e+03,1708.760,9,1950,0,1185.000,2.817200e+03,1.002400e+03,1100.880,9.600,4.173
6,2550,450,1500.000,2.382400e+03,4.074000e+02,1408.180,10,2550,450,1500.000,2.382400e+03,4.074000e+02,1397.180,9.762,4.053
6,2850,450,1440.000,2674,4.118000e+02,1342.620,11,2550,150,1560.000,2674,4.118000e+02,1462.460,9.578,3.409
6,2250,0,1290.000,2.097600e+03,0,1197.540,12,3000,750,1710.000,2.097600e+03,0,1610.140,9.590,5.059
6,1950,0,1215.000,1.836600e+03,0,1138.360,13,3000,1050,1785.000,1.836600e+03,0,1670.960,9.393,3.818
6,2400,900,1425.000,2.263600e+03,8.428000e+02,1336.800,14,2100,600,1575.000,2.263600e+03,8.428000e+02,1470.200,9.863,2.543
6,2250,750,1590.000,2.115800e+03,7.038000e+02,1493.780,15,2250,750,1410.000,2.115800e+03,7.038000e+02,1310.500,9.619,3.281
6,3000,900,1695.000,2805,822,1584.980,16,2100,0,1305.000,2805,822,1219.720,9.897,3.402
6,2400,0,1170.000,2.238400e+03,0,1086.480,17,3000,600,1830.000,2.238400e+03,0,1722.600,9.641,6.041
6,3000,600,1560.000,2.798200e+03,5.436000e+02,1456.120,18,2400,0,1440.000,2.798200e+03,5.436000e+02,1346.800,9.987,3.844
6,1800,750,1275.000,1.704800e+03,7.112000e+02,1190.980,19,2250,1200,1725.000,1.704800e+03,7.112000e+02,1613.880,9.541,2.777
6,2700,1050,1650.000,2.560200e+03,9.908000e+02,1548.340,20,1950,300,1350.000,2.560200e+03,9.908000e+02,1265.300,9.511,2.615
7,2400,300,1425.000,2.235400e+03,2.752000e+02,1331.280,1,2700,600,1575.000,2.235400e+03,2.752000e+02,1479.240,9.585,4.649
7,1800,600,1305.000,1.689800e+03,568,1222.880,2,2400,1200,1695.000,1.689800e+03,568,1582.780,9.541,2.554
7,2250,0,1155.000,2.112200e+03,0,1084.800,3,3000,750,1845.000,2.112200e+03,0,1726.580,9.532,5.070
7,2100,0,1260.000,1.994600e+03,0,1180.680,4,3000,900,1740.000,1.994600e+03,0,1625.340,9.517,4.575
7,3000,0,1575.000,2.809200e+03,0,1478.480,5,3000,0,1425.000,2.809200e+03,0,1333.940,9.519,6.164
7,1950,600,1410.000,1796,563,1317.260,6,2400,1050,1590.000,1796,563,1489.620,9.720,3.029
7,0,0,0.000,0,0,0.000,7,0,0,0.000,0,0,0.000,0.000,0.000
7,2850,300,1500.000,2.681600e+03,2.746000e+02,1407.260,8,2700,150,1500.000,2.681600e+03,2.746000e+02,1402.800,9.451,4.916
7,3000,1050,1605.000,2.797200e+03,9.798000e+02,1497.760,9,1950,0,1395.000,2.797200e+03,9.798000e+02,1306.580,9.854,3.433
7,2700,150,1725.000,2.522800e+03,1.336000e+02,1607.220,10,2850,300,1275.000,2.522800e+03,1.336000e+02,1197.580,9.608,5.273
7,2850,0,1185.000,2.684400e+03,0,1105.780,11,3000,150,1815.000,2.684400e+03,0,1703.140,9.524,6.060
7,3000,0,1245.000,2.801400e+03,0,1161.300,12,3000,0,1755.000,2.801400e+03,0,1651.240,9.506,6.449
7,2850,150,1305.000,2.671400e+03,1.416000e+02,1224.180,13,2850,150,1695.000,2.671400e+03,1.416000e+02,1586.420,9.345,5.108
7,2550,900,1710.000,2.396400e+03,8.344000e+02,1605.020,14,2100,450,1290.000,2.396400e+03,8.344000e+02,1204.740,9.529,2.776
7,2850,0,1380.000,2690,0,1294.760,15,3000,150,1620.000,2690,0,1515.040,9.421,4.296
7,1950,450,1350.000,1.827800e+03,4.306000e+02,1268.440,16,2550,1050,1650.000,1.827800e+03,4.306000e+02,1536.380,9.833,3.667
7,2850,300,1740.000,2.683400e+03,2.892000e+02,1632.220,17,2700,150,1260.000,2.683400e+03,2.892000e+02,1176.560,9.706,5.019
7,1800,600,1305.000,1.700400e+03,5.434000e+02,1220.180,18,2400,1200,1695.000,1.700400e+03,5.434000e+02,1589.240,9.647,2.360
7,3000,900,1845.000,2788,853,1728.680,19,2100,0,1155.000,2788,853,1077.300,9.650,4.902
7,2700,0,1215.000,2.529400e+03,0,1139.840,20,3000,300,1785.000,2.529400e+03,0,1666.500,9.620,6.578
